BLS_2_Countries_(SRES)_ABBREVNAME,Fips_code,ISO3v10,WH_2000,RI_2000,MZ_2000,WHA1F2020,RIA1F2020,MZA1F2020,ActChWHA1F2020,ActChRIAIF2020,ActChMZA1F2020,WHA1F2050,RIA1F2050,MZA1F2050,ActChWHA1F2050,ActChRIAIF2050,ActChMZA1F2050,WHA1F2080,RIA1F2080,MZA1F2080,ActChWHA1F2080,ActChRIAIF2080,ActChMZA1F2080,WHA2a2020,RIA2a2020,MZA2a2020,ActChWHA2a2020,ActChRIA2a2020,ActChMZA2a2020,WHA2a2050,RIA2a2050,MZA2a2050,ActChWHA2a2050,ActChRIA2a2050,ActChMZA2a2050,WHA2a2080,RIA2a2080,MZA2a2080,ActChWHA2a2080,ActChRIA2a2080,ActChMZA2a2080,WHA2b2020,RIA2b2020,MZA2b2020,ActCHWHA2b2020,ActChRIA2b2020,ActChMZA2b2020,WHA2b2050,RIA2b2050,MZA2b2050,ActCHWHA2b2050,ActChRIA2b2050,ActChMZA2b2050,WHA2b2080,RIA2b2080,MZA2b2080,ActChWHA2b2080,ActChRIA2b2080,ActChMZA2b2080,WHA2c2020,RIA2c2020,MZA2c2020,ActChWHA2c2020,ActChRIA2c2020,ActChMZA2c2020,WHA2c2050,RIA2c2050,MZA2c2050,ActChWHA2c2050,ActChRIA2c2050,ActChMZA2c2050,WHA2c2080,RIA2c2080,MZA2c2080,ActChWHA2c2080,ActChRIA2c2080,ActChMZA2c2080,WHB1a2020,RIB1a2020,MZB1a2020,ActChWHB1a2020,ActChRIB1a2020,ActChMZB1a2020,WHB1a2050,RIB1a2050,MZB1a2050,ActChWHB1a2050,ActChRIB1a2050,ActChMZB1a2050,WHB1a2080,RIB1a2080,MZB1a2080,ActChWHB1a2080,ActChRIB1a2080,ActChMZB1a2080,WHB2a2020,RIB2a2020,MZB2a2020,ActChWHB2a2020,ActChRIB2a2020,ActChMZB2a2020,WHB2a2050,RIB2a2050,MZB2a2050,ActChWHB2a2050,ActChRIB2a2050,ActChMZB2a2050,WHB2a2080,RIB2a2080,MZB2a2080,ActChWHB2a2080,ActChRIB2a2080,ActChMZB2a2080,WHB2b2020,RIB2b2020,MZB2b2020,ActChWHB2b2020,ActChRIB2b2020,ActChMZB2b2020,WHB2b2050,RIB2b2050,MZB2b2050,ActChWHB2b2050,ActChRIB2b2050,ActChMZB2b2050,WHB2b2080,RIB2b2080,MZB2b2080,ActChWHB2b2080,ActChRIB2b2080,ActChMZB2b2080,COUNTRY,WH%GR,RI%GR,MZ%GR,A1FI2020,A1FI2050,A1FI2080,A2A2020,A2A2050,A2A2080,A2B2020,A2B2050,A2B2080,A2C2020,A2C2050,A2C2080,B1A2020,B1A2050,B1A2080,B2A2020,B2A2050,B2A2080,B2B2020,B2B2050,B2B2080
Greece,GR,GRC,2023491.71,163112.71,2339833.86,4.19,2.19,-1.68,84869.89,3579.07,-39248.64,9.28,8.28,-1.37,187815.00,13508.55,-32142.52,7.48,6.48,1.19,151443.59,10576.67,27854.68,5.67,3.67,-1.16,114636.27,5978.52,-27151.52,9.20,7.20,-1.32,186229.97,11749.66,-30817.00,13.14,12.14,0.45,265851.96,19799.07,10491.39,3.49,1.49,-0.72,70587.85,2427.80,-16949.16,8.92,6.92,-1.66,180424.47,11281.68,-38734.32,13.15,12.15,0.77,266146.31,19822.80,17925.56,3.34,1.34,-1.48,67667.22,2192.37,-34570.05,9.07,7.07,-1.81,183591.58,11536.98,-42355.41,13.51,12.51,0.44,273401.86,20407.67,10393.61,1.61,-0.39,-1.71,32518.39,-640.96,-40111.20,5.28,4.28,-2.83,106862.08,6982.97,-66241.21,6.86,3.86,-3.21,138883.70,6301.97,-75095.59,3.66,2.31,-2.60,73987.91,3772.63,-60892.96,5.13,4.13,-3.19,103799.56,6736.11,-74657.02,7.24,6.24,-1.42,146577.09,10184.38,-33139.75,3.16,1.16,-2.55,63910.49,1889.54,-59551.15,5.50,4.50,-3.13,111273.71,7338.59,-73208.42,8.85,7.85,-1.35,179154.48,12810.43,-31502.66,Greece,45.73,5.26,49.01,0.40,1.34,1.45,0.74,1.31,2.29,0.44,1.21,2.34,0.29,1.21,2.35,-0.04,0.42,0.59,0.17,0.33,0.98,0.09,0.41,1.27
Greenland (Denmark),GL,GRL,,,,,,,0.00,0.00,0.00,,,,0.00,0.00,0.00,,,,0.00,0.00,0.00,,,,0.00,0.00,0.00,,,,0.00,0.00,0.00,,,,0.00,0.00,0.00,,,,0.00,0.00,0.00,,,,0.00,0.00,0.00,,,,0.00,0.00,0.00,,,,0.00,0.00,0.00,,,,0.00,0.00,0.00,,,,0.00,0.00,0.00,,,,0.00,0.00,0.00,,,,0.00,0.00,0.00,,,,0.00,0.00,0.00,,,,0.00,0.00,0.00,,,,0.00,0.00,0.00,,,,0.00,0.00,0.00,,,,0.00,0.00,0.00,,,,0.00,0.00,0.00,,,,0.00,0.00,0.00,,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Guatemala,GT,GTM,9308.71,38371.00,1083534.57,-2.60,-4.60,-0.72,-242.02,-1765.05,-7799.67,-0.22,-1.22,-2.96,-20.36,-467.64,-32111.38,-1.52,-2.52,-6.96,-141.05,-965.11,-75456.58,-1.24,-3.24,-0.51,-115.32,-1242.79,-5555.22,-1.72,-3.72,-3.26,-160.25,-1428.00,-35321.31,2.02,1.02,-5.39,187.64,389.77,-58365.01,-4.49,-6.49,-2.22,-418.29,-2491.62,-24107.00,-1.72,-3.72,-3.67,-160.14,-1427.51,-39783.46,2.24,1.24,-5.63,208.73,476.68,-60960.73,-1.83,-3.83,-1.07,-170.25,-1469.22,-11640.56,-3.12,-5.12,-3.01,-290.29,-1964.02,-32649.57,-0.92,-0.59,-6.71,-85.58,-224.88,-72683.96,-6.12,-8.12,-3.71,-569.98,-3116.89,-40230.62,-5.08,-6.08,-5.28,-472.87,-2332.92,-57257.04,-4.66,-7.66,-6.79,-433.70,-2938.85,-73565.36,-2.65,-4.65,-3.04,-246.71,-1784.36,-32915.23,-2.57,-3.57,-4.03,-239.18,-1369.63,-43706.66,-2.64,-3.64,-4.04,-246.18,-1398.48,-43786.00,-2.93,-4.93,-1.95,-272.74,-1891.67,-21166.11,-6.33,-7.33,-4.26,-588.95,-2811.39,-46114.13,-3.49,-4.49,-4.29,-324.84,-1722.73,-46475.77,Guatemala,2.01,1.81,96.19,-0.28,-0.96,-2.26,-0.19,-1.08,-1.71,-0.78,-1.21,-1.78,-0.38,-1.02,-2.16,-1.28,-1.76,-2.25,-1.02,-1.33,-1.34,-0.68,-1.45,-1.43
Guinea,GV,GIN,,1175777.71,429671.71,0.14,-1.86,-4.18,0.00,-21854.80,-17968.29,-1.98,-2.98,-10.07,0.00,-35080.46,-43268.54,-14.52,-15.52,-20.75,0.00,-182485.03,-89162.62,0.20,-1.80,-4.50,0.00,-21151.95,-19314.75,-0.26,-2.26,-8.86,0.00,-26557.72,-38047.70,-5.76,-6.76,-15.58,0.00,-79536.06,-66953.98,0.42,-1.58,-4.05,0.00,-18577.79,-17386.26,0.97,-1.03,-7.47,0.00,-12064.23,-32101.14,-4.17,-5.17,-14.01,0.00,-60826.70,-60214.14,0.84,-1.16,-3.53,0.00,-13671.07,-15182.67,1.85,-0.15,-7.03,0.00,-1797.86,-30217.95,-4.31,-5.31,-14.69,0.00,-62395.10,-63104.88,-0.40,-2.40,-4.60,0.00,-28220.04,-19776.76,-0.60,-1.60,-7.26,0.00,-18836.33,-31203.01,-2.25,-5.25,-9.99,0.00,-61727.40,-42908.12,-1.33,-3.33,-6.19,0.00,-39105.52,-26600.91,-2.58,-3.58,-9.16,0.00,-42042.87,-39377.18,-4.49,-5.49,-12.40,0.00,-64518.09,-53272.50,-0.76,-2.76,-5.25,0.00,-32405.35,-22564.38,-1.59,-2.59,-8.22,0.00,-30450.11,-35318.86,-6.42,-7.42,-14.74,0.00,-87272.70,-63348.45,Guinea,0.00,89.35,10.65,-0.70,-1.25,-5.36,-0.70,-0.99,-2.57,-0.61,-0.57,-2.04,-0.47,-0.30,-2.10,-0.88,-0.73,-1.92,-1.21,-1.39,-2.07,-1.01,-1.06,-2.73
Guinea Bissau,PU,GNB,,94416.29,30006.14,0.14,-1.86,-4.18,0.00,-1754.97,-1254.82,-1.98,-2.98,-10.07,0.00,-2817.00,-3021.66,-14.52,-15.52,-20.75,0.00,-14653.76,-6226.68,0.20,-1.80,-4.50,0.00,-1698.53,-1348.85,-0.26,-2.26,-8.86,0.00,-2132.62,-2657.06,-5.76,-6.76,-15.58,0.00,-6386.84,-4675.73,0.42,-1.58,-4.05,0.00,-1491.82,-1214.17,0.97,-1.03,-7.47,0.00,-968.77,-2241.78,-4.17,-5.17,-14.01,0.00,-4884.45,-4205.06,0.84,-1.16,-3.53,0.00,-1097.80,-1060.28,1.85,-0.15,-7.03,0.00,-144.37,-2110.27,-4.31,-5.31,-14.69,0.00,-5010.40,-4406.93,-0.40,-2.40,-4.60,0.00,-2266.10,-1381.11,-0.60,-1.60,-7.26,0.00,-1512.58,-2179.06,-2.25,-5.25,-9.99,0.00,-4956.78,-2996.49,-1.33,-3.33,-6.19,0.00,-3140.22,-1857.68,-2.58,-3.58,-9.16,0.00,-3376.09,-2749.91,-4.49,-5.49,-12.40,0.00,-5180.88,-3720.29,-0.76,-2.76,-5.25,0.00,-2602.19,-1575.78,-1.59,-2.59,-8.22,0.00,-2445.18,-2466.49,-6.42,-7.42,-14.74,0.00,-7008.10,-4423.94,Guinea-Bissau,0.00,93.12,6.88,-0.67,-1.16,-5.29,-0.66,-0.90,-2.46,-0.58,-0.49,-1.93,-0.44,-0.21,-1.98,-0.85,-0.66,-1.86,-1.17,-1.32,-1.99,-0.98,-0.99,-2.64
Guyana,GY,GUY,,474890.43,3478.86,-2.60,-4.60,-0.72,0.00,-21844.73,-25.04,-0.22,-1.22,-2.96,0.00,-5787.68,-103.10,-1.52,-2.52,-6.96,0.00,-11944.42,-242.27,-1.24,-3.24,-0.51,0.00,-15381.15,-17.84,-1.72,-3.72,-3.26,0.00,-17673.29,-113.40,2.02,1.02,-5.39,0.00,4823.91,-187.39,-4.49,-6.49,-2.22,0.00,-30837.06,-77.40,-1.72,-3.72,-3.67,0.00,-17667.21,-127.73,2.24,1.24,-5.63,0.00,5899.49,-195.72,-1.83,-3.83,-1.07,0.00,-18183.46,-37.37,-3.12,-5.12,-3.01,0.00,-24307.30,-104.83,-0.92,-0.59,-6.71,0.00,-2783.12,-233.36,-6.12,-8.12,-3.71,0.00,-38575.57,-129.17,-5.08,-6.08,-5.28,0.00,-28872.83,-183.83,-4.66,-7.66,-6.79,0.00,-36371.99,-236.19,-2.65,-4.65,-3.04,0.00,-22083.73,-105.68,-2.57,-3.57,-4.03,0.00,-16950.91,-140.33,-2.64,-3.64,-4.04,0.00,-17307.96,-140.58,-2.93,-4.93,-1.95,0.00,-23411.84,-67.96,-6.33,-7.33,-4.26,0.00,-34794.52,-148.06,-3.49,-4.49,-4.29,0.00,-21321.01,-149.22,Guyana,0.00,99.42,0.58,-1.53,-0.41,-0.85,-1.07,-1.24,0.33,-2.16,-1.24,0.40,-1.27,-1.70,-0.21,-2.70,-2.03,-2.55,-1.55,-1.19,-1.22,-1.64,-2.44,-1.50
Haiti,HA,HTI,,117142.86,201357.14,-2.60,-4.60,-0.72,0.00,-5388.51,-1449.44,-0.22,-1.22,-2.96,0.00,-1427.67,-5967.37,-1.52,-2.52,-6.96,0.00,-2946.37,-14022.37,-1.24,-3.24,-0.51,0.00,-3794.12,-1032.35,-1.72,-3.72,-3.26,0.00,-4359.53,-6563.89,2.02,1.02,-5.39,0.00,1189.93,-10846.18,-4.49,-6.49,-2.22,0.00,-7606.68,-4479.89,-1.72,-3.72,-3.67,0.00,-4358.03,-7393.10,2.24,1.24,-5.63,0.00,1455.25,-11328.55,-1.83,-3.83,-1.07,0.00,-4485.38,-2163.21,-3.12,-5.12,-3.01,0.00,-5995.97,-6067.39,-0.92,-0.59,-6.71,0.00,-686.52,-13507.12,-6.12,-8.12,-3.71,0.00,-9515.57,-7476.20,-5.08,-6.08,-5.28,0.00,-7122.16,-10640.28,-4.66,-7.66,-6.79,0.00,-8972.00,-13670.92,-2.65,-4.65,-3.04,0.00,-5447.47,-6116.76,-2.57,-3.57,-4.03,0.00,-4181.34,-8122.17,-2.64,-3.64,-4.04,0.00,-4269.41,-8136.91,-2.93,-4.93,-1.95,0.00,-5775.08,-3933.37,-6.33,-7.33,-4.26,0.00,-8582.88,-8569.55,-3.49,-4.49,-4.29,0.00,-5259.33,-8636.76,Haiti,0.00,31.96,68.04,-0.65,-0.80,-1.85,-0.46,-1.14,-1.11,-1.20,-1.23,-1.14,-0.65,-1.23,-1.58,-1.71,-1.85,-2.36,-1.18,-1.30,-1.30,-0.97,-1.75,-1.45
Honduras,HO,HND,1000.00,16662.43,492891.71,-2.60,-4.60,-0.72,-26.00,-766.46,-3548.01,-0.22,-1.22,-2.96,-2.19,-203.07,-14607.22,-1.52,-2.52,-6.96,-15.15,-419.09,-34324.63,-1.24,-3.24,-0.51,-12.39,-539.68,-2527.03,-1.72,-3.72,-3.26,-17.22,-620.10,-16067.40,2.02,1.02,-5.39,20.16,169.26,-26549.80,-4.49,-6.49,-2.22,-44.94,-1081.98,-10966.09,-1.72,-3.72,-3.67,-17.20,-619.89,-18097.20,2.24,1.24,-5.63,22.42,206.99,-27730.58,-1.83,-3.83,-1.07,-18.29,-638.00,-5295.20,-3.12,-5.12,-3.01,-31.19,-852.87,-14852.04,-0.92,-0.59,-6.71,-9.19,-97.65,-33063.39,-6.12,-8.12,-3.71,-61.23,-1353.50,-18300.60,-5.08,-6.08,-5.28,-50.80,-1013.06,-26045.79,-4.66,-7.66,-6.79,-46.59,-1276.18,-33464.33,-2.65,-4.65,-3.04,-26.50,-774.85,-14972.89,-2.57,-3.57,-4.03,-25.69,-594.75,-19881.83,-2.64,-3.64,-4.04,-26.45,-607.28,-19917.92,-2.93,-4.93,-1.95,-29.30,-821.45,-9628.30,-6.33,-7.33,-4.26,-63.27,-1220.83,-20976.97,-3.49,-4.49,-4.29,-34.90,-748.09,-21141.48,Honduras,0.13,5.74,94.13,-0.32,-0.95,-2.23,-0.22,-1.09,-1.67,-0.82,-1.22,-1.74,-0.41,-1.04,-2.12,-1.32,-1.78,-2.28,-1.04,-1.34,-1.34,-0.71,-1.48,-1.43
Hungary,HU,HUN,4458856.57,9537.29,7022749.14,-4.91,-6.91,-7.91,-218714.31,-658.57,-555159.97,-7.18,-8.18,-14.18,-320152.63,-780.16,-995836.43,-3.83,-4.83,-13.83,-170967.26,-461.06,-971550.26,-5.73,-7.73,-8.73,-255274.66,-736.77,-612742.93,-6.30,-8.30,-13.30,-280990.18,-791.77,-934155.13,-1.83,-2.83,-12.83,-81675.92,-270.07,-901142.89,-4.40,-6.40,-7.40,-196313.29,-610.65,-519878.11,-6.77,-8.77,-13.77,-301832.69,-836.35,-966982.32,-3.00,-4.00,-14.00,-133621.24,-381.18,-982957.35,-2.98,-4.98,-5.98,-132796.59,-474.79,-419838.60,-6.83,-8.83,-13.83,-304366.32,-841.77,-970972.82,-3.42,-4.42,-14.42,-152297.53,-421.13,-1012372.73,-7.88,-9.88,-10.88,-351560.17,-942.72,-764393.69,-6.10,-7.10,-11.10,-272144.91,-677.48,-779768.74,-8.41,-11.41,-14.41,-374869.46,-1087.95,-1011788.55,-8.86,-10.86,-11.86,-394970.70,-1035.57,-832765.76,-7.17,-8.17,-12.17,-319732.60,-779.27,-854719.89,-5.83,-6.83,-12.83,-259754.63,-650.98,-900708.89,-5.99,-7.99,-8.99,-266944.44,-761.73,-631122.96,-10.00,-11.00,-15.00,-445726.55,-1048.76,-1053161.78,-7.38,-8.38,-14.38,-328870.91,-798.81,-1009567.82,Hungary,39.47,0.07,60.46,-2.24,-3.80,-3.29,-2.51,-3.51,-2.83,-2.07,-3.67,-3.22,-1.60,-3.69,-3.36,-3.23,-3.04,-4.01,-3.56,-3.40,-3.35,-2.60,-4.34,-3.87
Iceland,IC,ISL,,,,-4.91,-6.91,-7.91,0.00,0.00,0.00,-7.18,-8.18,-14.18,0.00,0.00,0.00,-3.83,-4.83,-13.83,0.00,0.00,0.00,-5.73,-7.73,-8.73,0.00,0.00,0.00,-6.30,-8.30,-13.30,0.00,0.00,0.00,-1.83,-2.83,-12.83,0.00,0.00,0.00,-4.40,-6.40,-7.40,0.00,0.00,0.00,-6.77,-8.77,-13.77,0.00,0.00,0.00,-3.00,-4.00,-14.00,0.00,0.00,0.00,-2.98,-4.98,-5.98,0.00,0.00,0.00,-6.83,-8.83,-13.83,0.00,0.00,0.00,-3.42,-4.42,-14.42,0.00,0.00,0.00,-7.88,-9.88,-10.88,0.00,0.00,0.00,-6.10,-7.10,-11.10,0.00,0.00,0.00,-8.41,-11.41,-14.41,0.00,0.00,0.00,-8.86,-10.86,-11.86,0.00,0.00,0.00,-7.17,-8.17,-12.17,0.00,0.00,0.00,-5.83,-6.83,-12.83,0.00,0.00,0.00,-5.99,-7.99,-8.99,0.00,0.00,0.00,-10.00,-11.00,-15.00,0.00,0.00,0.00,-7.38,-8.38,-14.38,0.00,0.00,0.00,,1.00,1.00,1.00,-0.07,-0.10,-0.08,-0.07,-0.09,-0.06,-0.06,-0.10,-0.07,-0.05,-0.10,-0.07,-0.10,-0.08,-0.11,-0.11,-0.09,-0.08,-0.08,-0.12,-0.10
India,IN,IND,70674928.00,129906128.57,13599800.00,-4.10,-6.10,-7.10,-2897341.18,-7923665.68,-965522.13,-1.97,-2.97,-8.97,-1389853.60,-3853722.55,-1219432.06,-2.44,-3.44,-12.44,-1727441.27,-4474235.49,-1692387.21,-2.23,-4.23,-5.23,-1574681.67,-5492512.50,-711006.06,-3.27,-5.27,-10.27,-2311568.44,-6846968.89,-1396795.35,-1.07,-2.07,-12.07,-758929.49,-2694033.94,-1642016.91,-1.78,-3.78,-4.78,-1255372.76,-4905597.36,-649562.25,-0.97,-2.97,-7.97,-684214.24,-3855762.66,-1083647.64,-0.08,-1.08,-11.08,-58633.16,-1406833.70,-1507260.63,-2.80,-4.80,-5.80,-1975894.50,-6229973.52,-788210.45,-4.06,-6.06,-11.06,-2869425.48,-7872354.42,-1504142.38,-2.11,-3.11,-13.11,-1494036.34,-4045218.69,-1783471.68,-1.68,-3.68,-4.68,-1186217.15,-4778483.87,-636254.81,-2.14,-3.14,-7.14,-1510355.06,-4075213.80,-970623.86,-4.86,-7.86,-10.86,-3434144.90,-10209414.83,-1476811.93,-4.62,-6.62,-7.62,-3266660.32,-8602503.58,-1036589.29,-5.63,-6.63,-10.63,-3977652.31,-8610302.02,-1445399.71,-4.64,-5.64,-11.64,-3280644.91,-7329147.08,-1583272.31,-2.93,-4.93,-5.93,-2068460.09,-6400116.42,-806022.61,-3.55,-4.55,-8.55,-2512491.99,-5917221.03,-1163462.56,-2.26,-3.26,-9.26,-1600481.97,-4240874.21,-1259962.75,India,32.31,62.84,4.85,-1.83,-0.98,-1.19,-1.21,-1.62,-0.75,-1.06,-0.85,-0.41,-1.40,-1.89,-1.09,-1.03,-1.00,-2.35,-2.01,-2.17,-1.87,-1.44,-1.48,-1.08
Indonesia,ID,IDN,,52668656.86,10693671.71,-1.95,-1.02,-3.83,0.00,-539200.84,-409669.24,4.88,1.53,-7.52,0.00,804361.77,-803744.82,1.14,-0.50,-10.60,0.00,-264727.23,-1133332.55,3.09,-0.32,-3.13,0.00,-168391.45,-335093.90,5.00,1.79,-6.29,0.00,943219.08,-672749.79,7.35,4.78,-7.34,0.00,2516826.35,-784466.57,0.98,-0.48,-3.13,0.00,-252842.69,-334863.63,6.25,1.62,-6.24,0.00,854884.46,-667248.09,5.93,3.02,-9.44,0.00,1593101.04,-1009437.82,-1.10,-1.50,-4.33,0.00,-789891.81,-462812.04,4.15,1.32,-6.78,0.00,694243.13,-725055.00,2.96,2.76,-9.54,0.00,1454395.53,-1020177.08,-2.12,-1.41,-3.86,0.00,-741669.26,-412805.54,1.29,0.00,-6.73,0.00,-753.80,-719913.56,4.12,-2.29,-8.09,0.00,-1204816.16,-865441.09,2.95,-1.47,-4.44,0.00,-772922.49,-474516.78,4.33,0.23,-6.48,0.00,122226.36,-692654.41,5.74,2.00,-6.94,0.00,1055943.64,-742376.90,1.26,-1.59,-4.33,0.00,-836478.78,-462563.37,2.76,-0.54,-7.29,0.00,-282562.37,-779923.82,5.46,1.51,-7.42,0.00,795918.06,-793386.86,Indonesia,0.00,84.59,15.41,-0.49,0.04,-0.69,-0.25,0.18,0.97,-0.30,0.14,0.37,-0.65,0.02,0.29,-0.60,-0.35,-1.06,-0.64,-0.27,0.21,-0.67,-0.53,0.05
Iran,IR,IRN,12401770.00,2622872.71,1555461.00,-1.22,-3.22,-5.54,-150841.16,-84359.12,-86163.21,-4.76,-5.76,-12.84,-589854.00,-150978.01,-199764.00,-13.58,-14.58,-19.81,-1683754.14,-382328.93,-308100.93,-0.74,-2.74,-5.44,-92187.66,-71954.39,-84610.89,-1.24,-3.24,-9.84,-154047.82,-85037.30,-153033.58,-5.64,-6.64,-15.46,-699100.63,-174082.78,-240398.74,-0.56,-2.56,-5.03,-69455.04,-67146.63,-78183.75,-0.87,-2.87,-9.31,-107554.93,-75204.44,-144848.80,-4.34,-5.34,-14.18,-537982.80,-140007.68,-220542.94,-0.99,-2.99,-5.36,-122633.03,-78393.34,-83367.43,-0.15,-2.15,-9.02,-17991.75,-56262.56,-140379.82,-5.01,-6.01,-15.39,-621489.16,-157668.59,-239406.49,-0.87,-2.87,-5.08,-108406.85,-75384.61,-78967.12,-1.68,-2.68,-8.34,-207964.24,-70211.46,-129677.52,-3.28,-6.28,-11.02,-407346.94,-164836.72,-171426.16,-2.24,-4.24,-7.11,-277993.83,-111250.87,-110540.73,-4.26,-5.26,-10.85,-528863.74,-138079.07,-168816.52,-4.74,-5.74,-12.65,-587822.80,-150548.43,-196781.07,-1.54,-3.54,-6.03,-190716.71,-92792.48,-93845.31,-2.03,-3.03,-8.66,-251406.55,-79399.15,-134661.90,-9.47,-10.47,-17.79,-1174062.62,-274533.35,-276682.26,Iran,73.64,19.74,6.62,-0.63,-1.83,-4.73,-0.48,-0.74,-2.16,-0.42,-0.61,-1.73,-0.56,-0.38,-1.97,-0.52,-0.77,-1.46,-0.99,-1.63,-1.82,-0.74,-0.89,-3.40
Iraq,IZ,IRQ,1780771.43,188142.86,269285.71,-1.22,-3.22,-5.54,-21659.30,-6051.21,-14916.81,-4.76,-5.76,-12.84,-84697.20,-10829.89,-34583.70,-13.58,-14.58,-19.81,-241770.43,-27425.07,-53339.29,-0.74,-2.74,-5.44,-13237.24,-5161.40,-14648.07,-1.24,-3.24,-9.84,-22119.74,-6099.86,-26493.60,-5.64,-6.64,-15.46,-100383.93,-12487.24,-41618.50,-0.56,-2.56,-5.03,-9973.06,-4816.53,-13535.39,-0.87,-2.87,-9.31,-15443.82,-5394.53,-25076.63,-4.34,-5.34,-14.18,-77249.01,-10042.97,-38181.00,-0.99,-2.99,-5.36,-17608.89,-5623.28,-14432.80,-0.15,-2.15,-9.02,-2583.44,-4035.80,-24302.94,-5.01,-6.01,-15.39,-89239.69,-11309.82,-41446.71,-0.87,-2.87,-5.08,-15566.15,-5407.46,-13671.01,-1.68,-2.68,-8.34,-29861.61,-5036.38,-22450.13,-3.28,-6.28,-11.02,-58490.99,-11824.00,-29677.77,-2.24,-4.24,-7.11,-39917.16,-7980.20,-19137.12,-4.26,-5.26,-10.85,-75939.60,-9904.63,-29225.98,-4.74,-5.74,-12.65,-84405.54,-10799.08,-34067.28,-1.54,-3.54,-6.03,-27385.03,-6656.15,-16246.76,-2.03,-3.03,-8.66,-36099.49,-5695.43,-23313.04,-9.47,-10.47,-17.79,-168583.77,-19692.72,-47900.00,Iraq,76.70,15.93,7.37,-0.62,-1.84,-4.73,-0.47,-0.73,-2.17,-0.40,-0.60,-1.74,-0.54,-0.37,-1.98,-0.50,-0.78,-1.44,-0.97,-1.64,-1.83,-0.73,-0.89,-3.41
Ireland,EI,IRL,827257.14,,,4.19,2.19,-1.68,34697.07,0.00,0.00,9.28,8.28,-1.37,76783.76,0.00,0.00,7.48,6.48,1.19,61914.16,0.00,0.00,5.67,3.67,-1.16,46866.35,0.00,0.00,9.20,7.20,-1.32,76135.76,0.00,0.00,13.14,12.14,0.45,108687.34,0.00,0.00,3.49,1.49,-0.72,28858.19,0.00,0.00,8.92,6.92,-1.66,73762.32,0.00,0.00,13.15,12.15,0.77,108807.68,0.00,0.00,3.34,1.34,-1.48,27664.16,0.00,0.00,9.07,7.07,-1.81,75057.11,0.00,0.00,13.51,12.51,0.44,111773.94,0.00,0.00,1.61,-0.39,-1.71,13294.38,0.00,0.00,5.28,4.28,-2.83,43688.06,0.00,0.00,6.86,3.86,-3.21,56779.34,0.00,0.00,3.66,2.31,-2.60,30248.22,0.00,0.00,5.13,4.13,-3.19,42436.02,0.00,0.00,7.24,6.24,-1.42,59924.61,0.00,0.00,3.16,1.16,-2.55,26128.31,0.00,0.00,5.50,4.50,-3.13,45491.65,0.00,0.00,8.85,7.85,-1.35,73243.11,0.00,0.00,Ireland,100.00,0.00,0.00,1.40,3.09,2.49,1.89,3.07,4.38,1.16,2.97,4.38,1.11,3.02,4.50,0.54,1.76,2.29,1.22,1.71,2.41,1.05,1.83,2.95
Israel,IS,ISR,157120.71,,67487.71,1.35,-0.65,-4.30,2118.52,0.00,-2900.55,-1.59,-2.59,-10.76,-2491.20,0.00,-7260.75,-20.10,-21.10,-22.56,-31583.43,0.00,-15227.47,0.91,-1.09,-5.49,1424.32,0.00,-3702.38,0.71,-1.29,-9.48,1117.65,0.00,-6398.73,-9.00,-10.00,-17.64,-14146.53,0.00,-11904.62,1.56,-0.44,-4.37,2456.66,0.00,-2948.66,1.66,-0.34,-8.23,2611.40,0.00,-5552.89,-6.05,-7.05,-14.73,-9504.54,0.00,-9941.30,1.87,-0.13,-3.87,2938.24,0.00,-2612.85,2.76,0.76,-8.00,4343.76,0.00,-5395.77,-7.10,-8.10,-16.86,-11156.04,0.00,-11378.71,0.35,-1.65,-5.06,542.48,0.00,-3414.89,0.71,-0.29,-7.61,1113.67,0.00,-5136.66,-0.65,-3.65,-10.12,-1024.08,0.00,-6832.76,-0.86,-2.86,-7.59,-1355.43,0.00,-5124.19,-2.62,-3.62,-10.80,-4116.59,0.00,-7286.97,-4.79,-5.79,-13.62,-7532.15,0.00,-9189.24,0.25,-1.75,-5.74,393.50,0.00,-3874.12,0.14,-0.86,-8.12,227.50,0.00,-5477.01,-10.27,-11.27,-19.91,-16136.71,0.00,-13438.20,Israel,98.67,0.00,1.33,0.42,-0.57,-6.71,0.27,0.19,-3.04,0.49,0.51,-2.05,0.60,0.87,-2.41,0.09,0.20,-0.26,-0.32,-0.91,-1.64,0.06,0.01,-3.47
